,Unnamed: 0,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,bicycle_N,subway_N,kor_N,jap_N,west_N,ch_N,bake_N,cafe_N
572,572,월세,160,"2,000",11.2,1/5,북동향,37.562355,126.920091,2317,30,1,3,0,29,45,60,23,29,222
573,573,월세,450,"5,000",29.6,1/5,동향,37.55927,126.921055,1876,38,3,8,1,43,55,71,46,37,112
574,574,월세,120,"2,000",6.7,1/4,동향,37.562053,126.921427,1052,23,1,3,0,35,78,103,40,47,284
575,575,월세,270,"3,000",10.9,1/3,남동향,37.561866,126.924503,1359,19,1,4,0,33,79,102,38,44,257
576,576,월세,400,"5,000",52.9,1/4,동향,37.565089,126.923774,902,17,1,3,0,19,58,71,24,29,258
577,577,월세,200,"2,400",10.0,3/4,남동향,37.561169,126.926094,1465,15,1,4,1,35,73,94,38,43,209
578,578,월세,150,"1,800",6.4,4/4,남동향,37.561169,126.926094,1465,15,1,4,1,35,73,94,38,43,209
579,579,월세,320,"5,000",28.7,2/3,동향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
580,580,월세,190,"3,500",14.8,1/5,북동향,37.561109,126.920106,919,30,1,6,0,35,44,59,26,37,158
581,581,월세,470,"6,500",28.7,B1/3,동향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
582,582,월세,250,"4,000",23.3,2/4,남서향,37.562116,126.925874,1140,13,1,3,0,32,77,100,35,40,238
583,583,월세,120,"2,000",6.4,1/5,남동향,37.563944,126.92455,943,15,1,3,0,28,71,90,29,37,266
584,584,월세,120,"2,000",6.4,1/4,동향,37.562053,126.921427,1052,23,1,3,0,35,78,103,40,47,284
585,585,월세,250,"3,000",11.2,B1/4,남동향,37.561169,126.926094,1465,15,1,4,1,35,73,94,38,43,209
586,586,월세,470,"6,500",28.7,B1/3,서향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
587,587,월세,350,"4,000",24.2,2/3,남서향,37.562925,126.926168,1305,12,1,2,0,27,70,96,31,39,240
588,588,월세,200,"3,000",13.9,2/4,남향,37.562937,126.925977,1302,12,1,2,0,27,71,98,31,39,243
589,589,월세,470,"6,500",28.7,1/3,,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
590,590,월세,700,1억,30.9,1/5,남향,37.563736,126.925642,1506,14,1,2,0,27,71,87,29,35,247
591,591,월세,130,"2,000",13.9,4/4,북서향,37.562257,126.925545,1153,12,1,3,0,32,77,100,35,43,248
592,592,월세,220,"3,000",24.8,2/4,북동향,37.559796,126.921363,1037,36,3,8,1,42,65,82,45,35,150
593,593,월세,250,"3,000",23.0,2/4,,37.562161,126.925222,1156,14,1,3,0,33,79,100,36,44,249
594,594,월세,"1,500",2억,97.7,1/4,남동향,37.561382,126.924111,1514,21,1,5,1,35,80,104,40,46,255
595,595,월세,350,"3,000",34.2,3/4,,37.562161,126.925222,1156,14,1,3,0,33,79,100,36,44,249
596,596,월세,"1,020","1억 2,000",105.0,1/5,북동향,37.564166,126.91916,964,24,0,3,0,5,17,20,5,23,159
597,597,월세,450,"5,000",39.9,1/5,북동향,37.564166,126.91916,964,24,0,3,0,5,17,20,5,23,159
598,598,월세,"1,550","2억 1,000",16.9,3/3,남서향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
599,599,월세,230,"3,000",21.5,2/3,북향,37.561069,126.924555,1509,20,1,5,1,36,78,102,43,45,240
600,600,월세,150,"3,000",13.0,1/3,남향,37.566314,126.91697,904,20,0,4,1,1,3,9,3,7,53
601,601,월세,260,"4,000",24.5,B1/4,북동향,37.563093,126.925582,1338,13,1,2,0,27,71,97,31,39,246
602,602,월세,120,"1,000",6.7,1/3,남동향,37.562338,126.924051,1273,16,1,3,0,33,79,100,37,44,265
603,603,월세,170,"2,000",13.0,B1/2,서향,37.560927,126.924949,1600,18,1,5,1,37,76,99,43,46,224
604,604,월세,186,"3,000",5.7,1/2,북동향,37.562159,126.926715,1420,11,1,3,0,28,72,96,33,35,217
605,605,월세,160,"2,500",8.5,3/3,남향,37.562103,126.926197,1140,12,1,3,0,31,75,98,35,40,231
606,606,월세,400,"5,000",22.7,1/3,북동향,37.562528,126.924938,1161,15,1,3,0,33,78,100,36,43,258
607,607,월세,210,"3,000",8.8,B1/2,북동향,37.561905,126.924974,1140,17,1,3,0,33,78,101,37,44,249
608,608,월세,300,"4,000",11.5,1/4,북향,37.561941,126.925084,1239,16,1,3,0,33,78,101,37,44,249
609,609,월세,200,"3,000",14.8,1/6,동향,37.566864,126.917161,1183,16,0,3,1,1,2,7,3,6,47
610,610,월세,230,"3,500",16.9,3/3,동향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
611,611,월세,320,"5,000",28.7,2/3,동향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
612,612,월세,"1,100",1억,62.0,1/5,남향,37.563736,126.925642,1506,14,1,2,0,27,71,87,29,35,247
613,613,월세,430,"6,000",28.7,1/3,동향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
614,614,월세,900,"9,000",69.6,B1/5,남향,37.563736,126.925642,1506,14,1,2,0,27,71,87,29,35,247
615,615,월세,470,"6,500",28.7,B1/3,동향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
616,616,월세,200,"2,000",29.3,2/4,남동향,37.559796,126.921363,1037,36,3,8,1,42,65,82,45,35,150
617,617,월세,300,"3,000",13.0,1/5,북서향,37.561654,126.92627,1139,13,1,3,0,32,73,99,36,40,223
618,618,월세,150,"3,000",12.4,1/3,동향,37.566314,126.91697,904,20,0,4,1,1,3,9,3,7,53
619,619,월세,170,"2,500",10.0,1/2,남향,37.562117,126.926043,1140,14,1,3,0,31,76,98,35,40,233
620,620,월세,230,"3,000",23.9,1/5,남동향,37.560504,126.921764,1038,34,1,8,1,39,73,97,41,47,214
621,621,월세,150,"2,000",7.3,4/4,동향,37.564639,126.924998,1305,14,1,3,0,20,63,80,26,30,255
622,622,월세,200,"2,000",7.9,3/4,동향,37.564639,126.924998,1305,14,1,3,0,20,63,80,26,30,255
623,623,월세,88,"1,500",6.0,1/2,북동향,37.561338,126.922433,1242,24,1,4,0,38,83,104,40,47,273
624,624,월세,430,"5,000",17.8,2/4,동향,37.564639,126.924998,1305,14,1,3,0,20,63,80,26,30,255
625,625,월세,75,500,14.5,B1/5,북서향,37.562633,126.920506,982,26,1,3,0,32,57,72,28,29,247
626,626,월세,430,"5,000",14.2,1/4,동향,37.564639,126.924998,1305,14,1,3,0,20,63,80,26,30,255
627,627,월세,450,"5,000",15.1,B1/4,동향,37.564639,126.924998,1305,14,1,3,0,20,63,80,26,30,255
628,628,월세,500,"7,000",34.8,1/5,동향,37.565563,126.92397,879,15,0,3,0,15,50,61,20,26,242
629,629,월세,150,"2,500",11.5,2/3,동향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
630,630,월세,470,"6,500",28.7,B1/3,남동향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
631,631,월세,230,"3,500",16.9,3/3,동향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
632,632,월세,75,500,14.5,B1/5,북서향,37.562633,126.920506,982,26,1,3,0,32,57,72,28,29,247
633,633,월세,430,"6,000",28.7,1/3,동향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
634,634,월세,210,"2,500",13.0,2/2,동향,37.566297,126.920844,906,15,0,3,0,2,11,17,2,15,135
635,635,월세,180,"3,000",16.9,2/5,남서향,37.562637,126.925044,1417,15,1,3,0,33,78,99,35,43,257
636,636,월세,400,"5,000",49.9,1/4,동향,37.565089,126.923774,902,17,1,3,0,19,58,71,24,29,258
637,637,월세,"1,600","1억 9,000",74.4,1/4,,37.564639,126.924998,1305,14,1,3,0,20,63,80,26,30,255
638,638,월세,150,"2,000",9.1,4/4,북서향,37.564639,126.924998,1305,14,1,3,0,20,63,80,26,30,255
639,639,월세,500,"6,500",28.7,B1/3,서향,37.56485,126.92331,909,18,1,3,0,21,62,74,24,32,267
640,640,월세,400,"5,000",49.9,1/4,북동향,37.565089,126.923774,902,17,1,3,0,19,58,71,24,29,258
641,641,월세,200,"2,000",14.8,1/4,북동향,37.560726,126.920469,953,31,1,6,0,37,56,68,33,37,156
642,642,월세,650,"7,000",44.5,2/3,북동향,37.562925,126.926168,1305,12,1,2,0,27,70,96,31,39,240
643,643,월세,350,"3,000",23.6,2/3,남향,37.560849,126.924547,1600,21,1,5,1,40,77,100,43,47,228
644,644,월세,210,"2,500",14.8,2/2,동향,37.566297,126.920844,906,15,0,3,0,2,11,17,2,15,135
645,645,월세,150,"3,000",18.8,B1/5,북동향,37.561615,126.922195,1155,21,1,5,0,36,82,101,40,47,278
646,646,월세,235,"3,000",16.3,1/2,남향,37.561053,126.924933,1509,19,1,5,1,37,78,101,42,45,235
647,647,월세,190,"4,000",29.3,B1/6,동향,37.565996,126.92091,966,18,0,3,0,4,13,19,6,18,150
648,648,월세,230,"3,000",15.1,B1/3,남동향,37.560609,126.925422,1302,17,2,4,1,41,74,95,45,47,207
649,649,월세,430,"5,000",18.1,1/4,,37.564639,126.924998,1305,14,1,3,0,20,63,80,26,30,255
650,650,월세,400,"5,000",52.9,1/4,북동향,37.565089,126.923774,902,17,1,3,0,19,58,71,24,29,258
651,651,월세,290,"4,000",15.7,1/3,북향,37.560935,126.924803,1600,20,1,5,1,37,76,100,43,47,230
652,652,월세,260,"3,000",22.4,2/4,북동향,37.562836,126.925819,1344,12,1,2,0,27,71,98,31,39,245
653,653,월세,210,"3,000",10.3,1/3,북서향,37.561856,126.926786,1019,12,1,2,0,29,71,96,32,37,206
654,654,월세,200,"2,000",8.5,3/4,북서향,37.564639,126.924998,1305,14,1,3,0,20,63,80,26,30,255
655,655,월세,170,"2,000",16.9,B1/2,북향,37.560927,126.924949,1600,18,1,5,1,37,76,99,43,46,224
656,656,월세,500,"7,000",34.8,1/5,남서향,37.565563,126.92397,879,15,0,3,0,15,50,61,20,26,242
657,657,월세,260,"3,000",15.1,B1/3,남향,37.56207,126.925007,1140,15,1,3,0,33,79,101,36,44,251
658,658,월세,250,"3,000",16.3,3/4,남서향,37.56634,126.919972,877,17,0,4,1,2,11,16,2,14,125
659,659,월세,400,"5,000",19.4,2/2,동향,37.562159,126.926715,1420,11,1,3,0,28,72,96,33,35,217
660,660,월세,250,"4,000",13.9,B1/2,동향,37.562159,126.926715,1420,11,1,3,0,28,72,96,33,35,217
661,661,월세,150,"3,000",7.9,3/3,동향,37.562159,126.926715,1420,11,1,3,0,28,72,96,33,35,217
662,662,월세,240,"3,000",10.9,2/4,남향,37.561743,126.925266,1238,16,1,4,0,33,78,101,37,43,243
663,663,월세,180,"3,000",10.9,2/3,,37.560579,126.923681,1416,21,2,5,1,45,79,99,51,46,228
664,664,월세,170,"2,000",18.5,B1/3,서향,37.565471,126.923667,906,15,1,3,0,16,51,61,20,25,243
665,665,월세,109,"1,000",17.8,1/3,동향,37.561578,126.919992,913,30,1,5,0,32,39,54,23,32,174
666,666,월세,150,"2,500",12.7,2/3,동향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
667,667,월세,"1,500",2억,84.7,1/4,동향,37.561382,126.924111,1514,21,1,5,1,35,80,104,40,46,255
668,668,월세,280,"4,000",14.8,B1/4,북동향,37.562458,126.925371,1153,13,1,3,0,32,78,100,35,43,254
669,669,월세,500,"5,000",13.6,1/5,북향,37.562597,126.924846,1466,16,1,3,0,33,78,99,36,43,259
670,670,월세,240,"4,000",14.8,B1/4,동향,37.562458,126.925371,1153,13,1,3,0,32,78,100,35,43,254
671,671,월세,500,"8,000",39.9,1/4,남향,37.566326,126.920359,898,17,0,3,1,2,11,16,2,14,127
672,672,월세,250,"3,000",8.8,3/3,동향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
673,673,월세,490,"6,000",25.7,1/2,동향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
674,674,월세,490,"6,000",25.7,B1/2,동향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
675,675,월세,250,"3,000",9.7,3/3,동향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
676,676,월세,490,"6,000",28.1,B1/3,동향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
677,677,월세,490,"6,000",28.1,1/3,동향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
678,678,월세,200,"3,000",10.0,1/2,동향,37.560965,126.925299,1136,18,1,5,1,36,76,98,42,44,221
679,679,월세,200,"3,000",10.3,1/2,동향,37.560965,126.925299,1136,18,1,5,1,36,76,98,42,44,221
680,680,월세,500,"7,000",28.1,B1/3,서향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
681,681,월세,400,"5,000",39.9,B1/5,남서향,37.564409,126.921286,1141,21,1,3,0,19,50,57,17,26,244
682,682,월세,280,"2,000",22.4,1/5,남향,37.560154,126.919052,966,31,1,5,0,26,27,27,21,25,80
683,683,월세,300,"4,500",35.1,2/2,남동향,37.564302,126.922649,975,18,1,3,0,23,65,79,25,34,281
684,684,월세,70,"2,000",7.0,3/3,북동향,37.566235,126.916872,904,21,0,4,1,2,3,8,3,8,51
685,685,월세,290,"3,000",11.8,1/4,남서향,37.561743,126.925266,1238,16,1,4,0,33,78,101,37,43,243
686,686,월세,75,"2,000",7.9,2/3,북동향,37.566235,126.916872,904,21,0,4,1,2,3,8,3,8,51
687,687,월세,170,"2,000",14.8,1/2,동향,37.559379,126.918473,1225,33,1,5,0,24,24,17,23,21,57
688,688,월세,190,"2,000",14.8,1/4,남동향,37.562124,126.918253,843,29,0,3,0,8,13,12,8,20,108
689,689,월세,200,"3,000",14.2,2/4,남동향,37.562937,126.925977,1302,12,1,2,0,27,71,98,31,39,243
690,690,월세,105,"5,000",24.8,3/3,동향,37.562092,126.927121,1087,10,1,1,0,28,67,94,31,35,199
691,691,월세,120,"1,000",6.7,1/5,,37.562338,126.924051,1273,16,1,3,0,33,79,100,37,44,265
692,692,월세,230,"3,000",21.5,2/3,,37.561069,126.924555,1509,20,1,5,1,36,78,102,43,45,240
693,693,월세,180,"2,500",12.7,2/2,남동향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
694,694,월세,185,"2,000",12.7,B1/2,북동향,37.561334,126.922149,1239,25,1,5,0,39,82,105,40,46,265
695,695,매매,,"5억 9,000",8.8,1/5,동향,37.565921,126.917299,857,24,0,5,1,3,5,10,1,9,65
696,696,월세,167,"1,000",16.0,1/3,남서향,37.561264,126.920281,902,29,1,5,0,34,50,66,27,36,179
697,697,월세,600,1억,33.3,1/5,동향,37.559813,126.920612,958,39,2,8,0,37,52,62,33,35,122
698,698,월세,180,"3,000",10.0,2/3,서향,37.560579,126.923681,1416,21,2,5,1,45,79,99,51,46,228
699,699,월세,250,"3,000",15.7,1/4,동향,37.564018,126.920283,1702,21,1,3,0,15,33,39,12,26,210
700,700,월세,350,"5,000",24.8,1/4,남동향,37.56554,126.923336,907,16,0,3,0,16,47,55,20,25,229
701,701,월세,260,"4,000",24.5,B1/4,동향,37.563093,126.925582,1338,13,1,2,0,27,71,97,31,39,246
702,702,월세,130,"2,000",14.8,2/4,남동향,37.562449,126.92466,1533,16,1,3,0,33,78,100,36,44,260
703,703,월세,230,"3,000",13.6,1/5,동향,37.560504,126.921764,1038,34,1,8,1,39,73,97,41,47,214
704,704,월세,300,"4,500",33.0,2/4,동향,37.564227,126.922549,975,18,1,3,0,24,65,82,26,34,283
705,705,월세,"1,000",1억,103.2,B1/4,동향,37.558704,126.918276,1710,42,2,4,0,21,24,19,23,18,45
706,706,월세,300,"3,000",20.3,3/3,동향,37.562925,126.926168,1305,12,1,2,0,27,70,96,31,39,240
707,707,월세,350,"4,000",24.2,2/3,동향,37.562925,126.926168,1305,12,1,2,0,27,70,96,31,39,240
708,708,월세,430,"4,000",34.8,3/5,남동향,37.563392,126.925273,1319,14,1,2,0,27,72,93,31,38,251
709,709,월세,480,"4,000",34.8,2/5,남동향,37.563392,126.925273,1319,14,1,2,0,27,72,93,31,38,251
710,710,월세,250,"3,000",29.9,5/5,남동향,37.563392,126.925273,1319,14,1,2,0,27,72,93,31,38,251
711,711,월세,220,"3,000",13.9,1/2,동향,37.56285,126.926052,1302,12,1,2,0,27,71,98,31,39,240
712,712,월세,200,"2,000",19.1,3/4,북동향,37.563009,126.925659,1550,13,1,2,0,27,71,97,31,39,246
713,713,월세,"1,000",1억,104.1,B1/4,남서향,37.558704,126.918276,1710,42,2,4,0,21,24,19,23,18,45
714,714,월세,230,"3,000",11.2,1/3,남서향,37.561856,126.926786,1019,12,1,2,0,29,71,96,32,37,206
715,715,월세,230,"3,000",11.2,1/3,동향,37.561856,126.926786,1019,12,1,2,0,29,71,96,32,37,206
716,716,월세,"1,500",2억,97.7,1/4,동향,37.561382,126.924111,1514,21,1,5,1,35,80,104,40,46,255
717,717,월세,120,"2,000",10.6,1/3,서향,37.566555,126.917098,892,18,0,4,1,1,3,8,3,6,50
718,718,월세,190,"3,500",10.9,1/5,동향,37.561109,126.920106,919,30,1,6,0,35,44,59,26,37,158
719,719,월세,140,"2,000",10.9,1/5,,37.561749,126.92487,1319,18,1,4,0,33,78,102,38,44,248
720,720,월세,220,"4,000",10.0,B1/2,북서향,37.561905,126.924974,1140,17,1,3,0,33,78,101,37,44,249
721,721,월세,210,"3,000",9.1,B1/2,북서향,37.561905,126.924974,1140,17,1,3,0,33,78,101,37,44,249
722,722,월세,270,"3,500",23.6,B1/4,북서향,37.560639,126.924758,1448,21,2,4,1,41,76,96,47,46,215
723,723,월세,"2,400",3억,174.5,1/5,남동향,37.563736,126.925642,1506,14,1,2,0,27,71,87,29,35,247
724,724,월세,300,"4,000",23.3,1/4,북향,37.561941,126.925084,1239,16,1,3,0,33,78,101,37,44,249
725,725,월세,260,"3,000",24.8,3/3,서향,37.564368,126.917065,871,32,0,5,1,4,6,10,2,13,78
726,726,월세,140,"3,000",15.4,1/2,남서향,37.565271,126.924641,910,15,1,3,0,19,55,71,23,27,248
727,727,월세,110,"1,500",10.9,B1/2,서향,37.564368,126.917065,871,32,0,5,1,4,6,10,2,13,78
728,728,월세,100,"1,500",10.0,B1/2,서향,37.564368,126.917065,871,32,0,5,1,4,6,10,2,13,78
729,729,매매,,"4억 7,000",6.0,1/5,남동향,37.565921,126.917299,857,24,0,5,1,3,5,10,1,9,65
730,730,매매,,"5억 9,000",8.8,1/5,남동향,37.565921,126.917299,857,24,0,5,1,3,5,10,1,9,65
731,731,월세,120,"2,000",9.1,1/4,서향,37.562053,126.921427,1052,23,1,3,0,35,78,103,40,47,284
732,732,월세,120,"1,000",6.7,1/5,남향,37.562338,126.924051,1273,16,1,3,0,33,79,100,37,44,265
733,733,월세,260,"3,000",15.1,B1/3,남향,37.56207,126.925007,1140,15,1,3,0,33,79,101,36,44,251
734,734,월세,550,"5,000",19.1,1/1,서향,37.562191,126.926056,1290,12,1,3,0,31,76,98,35,40,236
735,735,월세,550,"8,000",60.5,B1/2,북서향,37.562351,126.92548,1153,12,1,3,0,32,78,100,35,43,250
736,736,월세,350,"3,000",18.5,B1/3,남서향,37.562278,126.925378,1153,12,1,3,0,32,78,100,36,44,250
737,737,월세,300,"4,000",19.4,2/4,남서향,37.564674,126.922729,969,19,1,3,0,22,62,75,23,32,277
738,738,월세,70,"2,000",7.0,3/3,남향,37.566235,126.916872,904,21,0,4,1,2,3,8,3,8,51
739,739,월세,350,"3,000",18.5,B1/3,서향,37.562278,126.925378,1153,12,1,3,0,32,78,100,36,44,250
740,740,월세,350,"4,000",10.0,1/4,남서향,37.561169,126.926094,1465,15,1,4,1,35,73,94,38,43,209
741,741,월세,170,"2,000",15.1,B1/2,남향,37.56285,126.926052,1302,12,1,2,0,27,71,98,31,39,240
742,742,월세,900,1억,71.4,4/7,남동향,37.560966,126.924026,1252,20,1,5,1,37,80,104,43,45,244
743,743,월세,290,"4,000",20.6,1/3,동향,37.560935,126.924803,1600,20,1,5,1,37,76,100,43,47,230
744,744,월세,450,"5,000",23.0,1/5,북동향,37.56661,126.918006,1068,17,0,4,1,1,7,12,2,7,75
745,745,월세,"1,600",2억,84.4,B1/3,남동향,37.561803,126.926469,1378,12,1,3,0,30,71,98,36,38,221
746,746,월세,300,"3,000",20.3,3/3,동향,37.562925,126.926168,1305,12,1,2,0,27,70,96,31,39,240
747,747,월세,100,"1,500",10.0,B1/3,남향,37.564368,126.917065,871,32,0,5,1,4,6,10,2,13,78
748,748,월세,810,"9,600",25.1,1/3,남서향,37.56162,126.925672,1176,16,1,4,1,32,78,100,38,44,237
749,749,월세,330,"5,000",55.1,B1/5,북서향,37.564448,126.924022,1179,17,1,3,0,21,64,85,27,33,267
750,750,월세,230,"3,000",14.8,1/5,남동향,37.560504,126.921764,1038,34,1,8,1,39,73,97,41,47,214
751,751,월세,130,"2,000",13.9,4/4,북동향,37.562257,126.925545,1153,12,1,3,0,32,77,100,35,43,248
752,752,월세,330,"5,000",24.5,4/5,북서향,37.56171,126.924689,1319,19,1,4,0,34,78,103,39,45,251
753,753,월세,190,"3,500",11.8,1/5,북동향,37.561109,126.920106,919,30,1,6,0,35,44,59,26,37,158
754,754,월세,260,"3,000",15.1,B1/3,동향,37.56207,126.925007,1140,15,1,3,0,33,79,101,36,44,251
755,755,월세,170,"3,000",10.0,B1/2,북향,37.561925,126.925291,1238,14,1,3,0,33,78,101,37,44,246
756,756,월세,120,"2,000",7.9,1/4,남서향,37.562053,126.921427,1052,23,1,3,0,35,78,103,40,47,284
757,757,월세,160,"2,500",11.2,4/4,남동향,37.561852,126.92462,1240,19,1,4,0,33,79,101,38,44,251
758,758,월세,350,"4,000",34.5,B1/4,남동향,37.561072,126.924097,1509,21,1,5,1,36,80,103,41,45,244
759,759,월세,300,"3,000",24.8,2/2,남동향,37.56563,126.921497,998,18,0,3,0,11,27,32,12,23,187
760,760,월세,260,"3,000",22.4,2/4,동향,37.562836,126.925819,1344,12,1,2,0,27,71,98,31,39,245
761,761,월세,750,1억,29.9,1/6,남동향,37.562574,126.926563,1497,10,1,3,0,27,68,97,31,36,225
762,762,월세,200,"3,000",12.1,1/4,동향,37.56432,126.925137,1033,14,1,2,0,20,65,80,27,34,253
763,763,월세,250,"3,000",19.7,1/4,동향,37.564018,126.920283,1702,21,1,3,0,15,33,39,12,26,210
