주차장명,구분,주차면,위치,Latitude,Longitude
망원,노상,70,서울특별시 마포구 희우정로68~희우정로123,37.5552491,126.8995303
경남,노상,19,서울특별시 마포구 월드컵북로1길6~월드컵북로 1길52,37.5554479,126.9205785
연남,노상,85,서울특별시 마포구 동교로235-1~동교로267,37.5610113,126.9240749
청기와,노상,66,서울특별시 마포구 월드컵로10길24~잔다리로133,37.558589,126.912633
당인,노상,45,서울특별시 마포구 독막로6길43~독막로42,37.5461453,126.917294
합정,노상,30,서울특별시 마포구 양화로6길17~양화로6길93,37.5492317,126.9151647
홍대서측,노상,129,서울특별시 마포구 어울마당로75~어울마당로32,37.5518097,126.921284
동교동,노상,79,서울특별시 마포구 와우산로29길 16 일대,37.5549892,126.9289772
새물결,노상,19,서울특별시 마포구 양화로18길3~어울마당로135,37.5562996,126.924747
용강동,노상,52,서울특별시 마포구 토정로272~토정로319,37.5422402,126.9398281
신촌노상,노상,16,서울특별시 마포구 망원로 73~망원로 89,37.5574725,126.9050107
월드컵시장,노상,13,서울특별시 마포구 망원로 73~망원로 69,37.5574725,126.9050107
망원시장,노상,15,서울특별시 마포구 망원로 92~망원로74,37.55762,126.9070243
망원노외,노외,20,서울특별시 마포구 월드컵로131,37.5596493,126.9064649
서강대역(철도공단),노외,98,서울특별시 마포구 신수동 93-35호 외 3필지,37.5509848,126.936428
신촌노외,노외,28,서울특별시 마포구 노고산동49-64,37.5557273,126.9342735
양화진,노외(시설),133,서울특별시 마포구 토정로2,37.5454832,126.9111396
염 리,노외(시설),135,서울특별시 마포구 큰우물로61,37.5419405,126.9452062
창천,노외(시설),280,서울특별시 마포구 백범로1길56,37.5548546,126.9393201
망원1-2,노외(시설),148,서울특별시 마포구 포은로6길10,37.5555803,126.9055975
도화,노외(시설),63,서울특별시 마포구 도화길37,37.5409204,126.949725
상암1,노외(시설),208,서울특별시 마포구 성암로197,37.5772525,126.8972378
중앙도서관,노외(시설),193,서울특별시 마포구 성산로128,37.5633288,126.9078837
대흥,노외(시설),20,서울특별시 마포구 대흥로 191,37.5561461,126.945693
망원나들목A동,노외(시설),62,서울특별시 마포구 망원동 460-5번지 일대,37.5535839,126.8997121